tweet_id,tweet_created_at,user_id,user_screenname,tweet_text,tweet_source,tweet_lang,hashtags,tweet_favorite_count,tweet_quoted_status_id,tweet_retweet_count,tweet_current_user_retweet,user_created_at,user_description,user_followers_count,user_friends_count,user_lang,user_location,user_name,user_statuses_count,user_time_zone,user_favorites_count,user_geo_enabled,user_listed_counted,user_utc_offset,tweet_mtion
"9,07599154217615E+017",2017-09-12 15:37:55,2710381103,lukeappleton81,For some reason dreamt last night that @RolandoAarons scored the winner to make it 3 games in a row. Great goal cutting in from left wing.,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,,0,-1,0,-1,2014-07-14 14:37:09,null,2,26,en,null,Luke,19,null,7,f,0,-1,RolandoAarons ; 
"9,07600673621123E+017",2017-09-12 15:43:57,420760631,LexxiiPerez,@Davidevan12 Carb cutting is the easier way,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,,0,-1,0,-1,2011-11-25 03:12:06,Mediate daily&never forget that you control your own destiny ; There must of been a moment...-Tom Stoppard,233,368,en,tulsa.ok,Alexis Perez,4451,null,8234,t,3,-1,Davidevan12 ; 
"9,07601832087716E+017",2017-09-12 15:48:33,2238517903,ICC_TENSports,"World XI: Tamim, Amla, du Plessis(c), Miller, Elliott, Perera, Paine(w), Cutting, Sammy, Morne, Tahir #PAKvsWorldXI","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",en,PAKvsWorldXI ; ,0,-1,0,-1,2013-12-10 04:18:40,Live Cricket Score: #PAKvWXI #WXIvPAK #INDvAUS #AUSvIND #T20 #ODI #Test #Cricket,22070,69,en,Pakistan,#PAKvWXI #INDvAUS,20637,null,6,f,7,-1,
"9,07602998683152E+017",2017-09-12 15:53:11,"8,8141036251562E+017",yorker01,"RT SampathStats: TIM PAINE
BEN CUTTING

First set of AUSTRALIANS to feature in an International match in PAKISTAN in the 21st century. #PAK…","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",en,PAK ; ,0,-1,0,-1,2017-07-02 09:13:01,The official channel of http://facebook.com/yorker01 we tried their best to entertain our followers with cricket updates along #ICC #CricketLeagues #LiveScore,155,0,en,  🌍 ,Yorker,30373,Pacific Time (US & Canada),58,f,2,-25200,
"9,07604577834353E+017",2017-09-12 15:59:28,118059085,BDCricTime,"World XI (Playing XI): Tamim, Amla, du Plessis(c), Miller, Elliott, Thisara Perera, Paine(w), Ben Cutting, Sammy, M Morkel, Tahir. #PAKvWXI","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,PAKvWXI ; ,0,-1,0,-1,2010-02-27 14:27:21,"Follow bdcrictime for Cricket news, scores | latest pictures | Previews | Stats | Videos | Exclusive interviews and many more.",9732,49,en,"Dhaka, Bangladesh",bdcrictime.com,9609,Dhaka,13,t,13,21600,
"9,07606274799534E+017",2017-09-12 16:06:13,493755758,pwrcaps,"Time for an #upgrade?
Keep your #PFC equipment cutting edge with @pwrcaps
Contact us now https://t.co/G32r4Zf1DI
#PowerFactorCorrection #MiM https://t.co/qRW9lrNxdo","<a href=""http://meetedgar.com"" rel=""nofollow"">Meet Edgar</a>",en,upgrade ; PFC ; PowerFactorCorrection ; MiM ; ,0,-1,0,-1,2012-02-16 05:43:30,Power Capacitors Limited is “Power Factor Correction” having specialised in power quality and only power quality since 1973.,222,143,en,UK,Power Capacitors Ltd,358,Pacific Time (US & Canada),27,f,14,-25200,pwrcaps ; 
"9,07607497455886E+017",2017-09-12 16:11:04,16178922,TheMarsSociety,Russia sees Vostochny Cosmodrome as deep space exploration hub https://t.co/oHahkvHxKU via @po_st,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,,0,-1,0,-1,2008-09-08 05:01:14,The Mars Society is the world's largest space advocacy organization dedicated to the human exploration and settlement of the planet Mars.  Join us!,16137,492,en,"Lakewood, CO",The Mars Society,10040,Mountain Time (US & Canada),649,t,600,-21600,Po_st ; 
"9,07609018558026E+017",2017-09-12 16:17:07,600130027,timeandpayroll1,"We hope to see you on Thursday for our ribbon cutting with the Wilson Chamber of Commerce!
#timeandpayroll #wilsonnc #wetakethetime https://t.co/0d2J6Umkx2","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,timeandpayroll ; wilsonnc ; wetakethetime ; ,0,-1,0,-1,2012-06-05 15:57:46,null,40,104,en,"Wilson, NC",Time and Payroll,345,null,160,f,0,-1,
"9,07610293488034E+017",2017-09-12 16:22:11,3346631889,Star_SportsOne,"1st T20: 
Pakistan 41/1 
Overs 5 
Shehzad 11* 
Babar 20* 
This Ovr 
Cutting 
1 wd 0 2 1 0 1   
#PAKvWorldxi 

Aziz_Sarparah","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",en,PAKvWorldxi ; ,0,-1,0,-1,2015-06-26 18:31:39,Live Score of #BCCI Fans club: #SLvIND #INDvSL #SLvsInd #IndvsSL #SLvIND #SLvIND #TeamIndia #INDvSL #SLvsIND #SLvIND #SLvsIND #StarSports #ViratKohli,2417,17,en,"Mumbai, India",#INDvSL #SLvsInd,13143,null,15,t,5,-1,
"9,07611619307479E+017",2017-09-12 16:27:27,2201201916,markabarger,"@ObserverBio @sharkbiotech cutting spending is what many of us would have liked.  Obamacare crushed revenues and added ""bigly"" to debt. We disagree. G'day! ;)","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",en,,0,-1,0,-1,2013-11-18 13:13:21,null,110,744,en,null,Mark Barger,4312,null,7685,t,4,-1,ObserverBio ; sharkbiotech ; 
