tweet_id,tweet_created_at,tweet_text,hashtags,tweet_quoted_status_id,tweet_mtion,user_id,user_screenname,user_name,user_location,user_description
"9,07599154217615E+017",2017-09-12 15:37:55,For some reason dreamt last night that @RolandoAarons scored the winner to make it 3 games in a row. Great goal cutting in from left wing.,,-1,RolandoAarons ; ,2710381103,lukeappleton81,Luke,null,null
"9,07600673621123E+017",2017-09-12 15:43:57,@Davidevan12 Carb cutting is the easier way,,-1,Davidevan12 ; ,420760631,LexxiiPerez,Alexis Perez,tulsa.ok,Mediate daily&never forget that you control your own destiny ; There must of been a moment...-Tom Stoppard
"9,07601832087716E+017",2017-09-12 15:48:33,"World XI: Tamim, Amla, du Plessis(c), Miller, Elliott, Perera, Paine(w), Cutting, Sammy, Morne, Tahir #PAKvsWorldXI",PAKvsWorldXI ; ,-1,,2238517903,ICC_TENSports,#PAKvWXI #INDvAUS,Pakistan,Live Cricket Score: #PAKvWXI #WXIvPAK #INDvAUS #AUSvIND #T20 #ODI #Test #Cricket
"9,07602998683152E+017",2017-09-12 15:53:11,"RT SampathStats: TIM PAINE
BEN CUTTING

First set of AUSTRALIANS to feature in an International match in PAKISTAN in the 21st century. #PAK…",PAK ; ,-1,,"8,8141036251562E+017",yorker01,Yorker,  🌍 ,The official channel of http://facebook.com/yorker01 we tried their best to entertain our followers with cricket updates along #ICC #CricketLeagues #LiveScore
"9,07604577834353E+017",2017-09-12 15:59:28,"World XI (Playing XI): Tamim, Amla, du Plessis(c), Miller, Elliott, Thisara Perera, Paine(w), Ben Cutting, Sammy, M Morkel, Tahir. #PAKvWXI",PAKvWXI ; ,-1,,118059085,BDCricTime,bdcrictime.com,"Dhaka, Bangladesh","Follow bdcrictime for Cricket news, scores | latest pictures | Previews | Stats | Videos | Exclusive interviews and many more."
"9,07606274799534E+017",2017-09-12 16:06:13,"Time for an #upgrade?
Keep your #PFC equipment cutting edge with @pwrcaps
Contact us now https://t.co/G32r4Zf1DI
#PowerFactorCorrection #MiM https://t.co/qRW9lrNxdo",upgrade ; PFC ; PowerFactorCorrection ; MiM ; ,-1,pwrcaps ; ,493755758,pwrcaps,Power Capacitors Ltd,UK,Power Capacitors Limited is “Power Factor Correction” having specialised in power quality and only power quality since 1973.
"9,07607497455886E+017",2017-09-12 16:11:04,Russia sees Vostochny Cosmodrome as deep space exploration hub https://t.co/oHahkvHxKU via @po_st,,-1,Po_st ; ,16178922,TheMarsSociety,The Mars Society,"Lakewood, CO",The Mars Society is the world's largest space advocacy organization dedicated to the human exploration and settlement of the planet Mars.  Join us!
"9,07609018558026E+017",2017-09-12 16:17:07,"We hope to see you on Thursday for our ribbon cutting with the Wilson Chamber of Commerce!
#timeandpayroll #wilsonnc #wetakethetime https://t.co/0d2J6Umkx2",timeandpayroll ; wilsonnc ; wetakethetime ; ,-1,,600130027,timeandpayroll1,Time and Payroll,"Wilson, NC",null
"9,07610293488034E+017",2017-09-12 16:22:11,"1st T20: 
Pakistan 41/1 
Overs 5 
Shehzad 11* 
Babar 20* 
This Ovr 
Cutting 
1 wd 0 2 1 0 1   
#PAKvWorldxi 

Aziz_Sarparah",PAKvWorldxi ; ,-1,,3346631889,Star_SportsOne,#INDvSL #SLvsInd,"Mumbai, India",Live Score of #BCCI Fans club: #SLvIND #INDvSL #SLvsInd #IndvsSL #SLvIND #SLvIND #TeamIndia #INDvSL #SLvsIND #SLvIND #SLvsIND #StarSports #ViratKohli
"9,07611619307479E+017",2017-09-12 16:27:27,"@ObserverBio @sharkbiotech cutting spending is what many of us would have liked.  Obamacare crushed revenues and added ""bigly"" to debt. We disagree. G'day! ;)",,-1,ObserverBio ; sharkbiotech ; ,2201201916,markabarger,Mark Barger,null,null
